	p1	p2	q1	q2
1	29.21	33.986	234.391	224.336
2	86.751	85.094	164.348	139.32
3	106.75	101.494	133.898	140.761
4	104.434	96.847	170.943	173.774
5			169.173	173.658
6	107.12	121.08	123.287	123.859
7	78.294	102.688	126.849	139.773
8	110.823	100.005	121.491	120.42
9	69.299	45	147.187	142.892
10	97.079	106.33	127.742	108.905
11	151.545	116.111	135.059	136.25
12	96.597	76.551	159.861	134.306
13	103.608	81.121	135.217	132.729
14	69.656	70.612	162.301	141.819
15	102.141	107.542	217.365	244.344
16			188.04	195.037
17	108.4	104.834	161.929	177.628
18	99.02	97.046	113.208	131.883
19			169.597	202.403
20	115.16	107.514	179.831	165.251
21	95.016	102.415	149.696	155.293
22			186.103	191.753
23	115.624	113.438	194.738	199.926
24	81.989	72.765	114.54	116.919
25	111.859	96.802	136.448	149.272
26	60.008	80.533	117.201	132.231
27	94.428	78.455	175.431	168.689
28	69.289	81.688	125.3	140.186
29	80.585	90.852	114.775	105.721
30			139.975	148.661
31	51.884	44.011	142.192	117.886
32			205.111	237.975
33	41.049	51.196	146.537	157.373
34	144.586	119.617	150.701	127.705
35	77.266	71.675	168.686	161.726
36	47.011	32	199.935	152.398
37	40.719	32.65	164.514	174.976
38	30.887	21.932	188.11	192.785
39	108.047	94.34	102.202	121.805
40			166.883	199.915
41	94.366	97.617	158.76	177.629
42	104.611	78.746	76.942	114.4
43	105.185	89.428	141.342	154.673
44			199.462	207.472
45	76.17	77.666	132.916	148.233
46			194.859	159.931
47	42.953	36.056	100.04	132.615
48	93.934	81.214	149.765	152.555
49	98.412	88.544	104.043	114.285
50	84.812	91.741	162.8	161.484